924 445 18 17   0.0
965 433 18 17 G 0.0
473 195 18 17   0.0
520 183 18 17 G 0.0
1060 280 18 17 B 0.0
325 385 18 17 B 0.0
854 39 18 17 B 0.0
365 283 18 17 B 0.0
925 270 18 17 B 0.0
783 29 18 17 B 0.0
879 139 18 17 B 0.0
935 39 18 17 B 0.0
1023 393 18 17 B 0.0
1085 189 18 17   0.0
1084 47 18 17 D 0.0
447 20 18 17 B 0.0
1100 444 18 17   0.0
403 449 18 17   0.0
556 294 18 17 B 0.0
580 142 18 17 B 0.0
904 270 18 17 B 0.0
628 31 18 17 B 0.0
751 447 18 17   0.0
621 294 18 17 B 0.0
172 139 18 17 B 0.0
424 295 18 17 D 0.0
937 139 18 17 B 0.0
878 39 18 17 B 0.0
497 284 18 17 B 0.0
377 140 18 17 B 0.0
843 390 18 17 B 0.0
399 39 18 17 B 0.0
578 294 18 17 B 0.0
988 168 18 17 A 0.0
675 193 18 17   0.0
670 391 18 17 B 0.0
337 40 18 17 B 0.0
250 306 18 17 D 0.0
1110 37 18 17 B 0.0
497 395 18 17 B 0.0
230 392 18 17 B 0.0
785 140 18 17 B 0.0
988 134 18 17 B 0.0
270 295 18 17 D 0.0
150 392 18 17 B 0.0
1126 289 18 17 B 0.0
616 395 18 17 B 0.0
1060 58 18 17 B 0.0
241 40 18 17 B 0.0
1035 68 18 17 A 0.0
268 196 18 17   0.0
861 289 18 17 B 0.0
806 289 18 17 B 0.0
1085 152 18 17 G 0.0
703 41 18 17 B 0.0
692 290 18 17 B 0.0
965 398 18 17 B 0.0
268 393 18 17 B 0.0
541 48 18 17 D 0.0
1034 34 18 17 B 0.0
578 395 18 17 B 0.0
403 412 18 17 D 0.0
190 305 18 17 D 0.0
326 421 18 17 A 0.0
232 426 18 17 A 0.0
843 303 18 17 D 0.0
230 296 18 17 D 0.0
461 310 18 17 B 0.0
268 426 18 17 A 0.0
193 39 18 17 B 0.0
149 292 18 17 B 0.0
343 311 18 17 B 0.0
171 315 18 17 B 0.0
1101 407 18 17 G 0.0
936 74 18 17 G 0.0
937 174 18 17 A 0.0
616 430 18 17 G 0.0
268 159 18 17 D 0.0
925 409 18 17 G 0.0
518 63 18 17 B 0.0
471 20 18 17 B 0.0
149 326 18 17 G 0.0
473 158 18 17 D 0.0
1085 215 18 17 B 0.0
702 76 18 17 G 0.0
734 289 18 17 B 0.0
577 431 18 17 G 0.0
151 426 18 17 A 0.0
745 56 18 17 D 0.0
1010 44 18 17 D 0.0
831 156 18 17 G 0.0
807 55 18 17 D 0.0
985 297 18 17 D 0.0
597 310 18 17 B 0.0
517 310 18 17 B 0.0
1041 307 18 17 D 0.0
1081 306 18 17 D 0.0
751 410 18 17 D 0.0
675 47 18 17 D 0.0
777 304 18 17 D 0.0
1156 305 18 17 D 0.0
726 156 18 17 G 0.0
1141 407 18 17 G 0.0
1064 408 18 17 G 0.0
401 301 18 17 D 0.0
726 141 18 17 B 0.0
714 299 18 17 D 0.0
172 173 18 17 A 0.0
365 412 18 17 D 0.0
274 218 18 17 B 0.0
854 75 18 17 G 0.0
1023 428 18 17 A 0.0
784 176 18 17 A 0.0
217 9 18 17 B 0.0
444 411 18 17 D 0.0
713 210 18 17 B 0.0
628 67 18 17 B 0.0
535 300 18 17 D 0.0
681 217 18 17 B 0.0
936 376 18 17 C 0.0
1142 391 18 17 B 0.0
843 424 18 17 A 0.0
698 213 18 17 B 0.0
1061 316 18 17 B 0.0
364 321 18 17 A 0.0
606 57 18 17 B 0.0
303 212 18 17 B 0.0
378 173 18 17 A 0.0
629 157 18 17 D 0.0
621 330 18 17 G 0.0
831 140 18 17 B 0.0
830 45 18 17 D 0.0
209 296 18 17 D 0.0
1153 42 18 17 D 0.0
269 332 18 17 G 0.0
651 57 18 17 B 0.0
289 215 18 17 B 0.0
217 49 18 17 D 0.0
1110 72 18 17 G 0.0
383 311 18 17 B 0.0
690 215 18 17 B 0.0
1120 208 18 17 B 0.0
700 448 18 17   0.0
1101 295 18 17 D 0.0
878 175 18 17 A 0.0
376 53 18 17 D 0.0
1051 450 18 17   0.0
784 66 18 17 B 0.0
870 447 18 17   0.0
1125 326 18 17 G 0.0
726 127 18 17 C 0.0
965 312 18 17 B 0.0
878 75 18 17 G 0.0
1023 193 18 17   0.0
905 55 18 17 D 0.0
1038 452 18 17   0.0
676 157 18 17 D 0.0
230 331 18 17 G 0.0
670 424 18 17 A 0.0
156 454 18 17   0.0
555 330 18 17 G 0.0
818 200 18 17   0.0
1030 453 18 17   0.0
1112 210 18 17 B 0.0
484 126 18 17 C 0.0
174 202 18 17   0.0
999 197 18 17   0.0
412 197 18 17   0.0
792 204 18 17 B 0.0
842 267 18 17 B 0.0
680 452 18 17   0.0
365 396 18 17 B 0.0
1034 122 18 17 C 0.0
990 198 18 17   0.0
495 48 18 17 D 0.0
293 54 18 17 D 0.0
444 396 18 17 B 0.0
690 450 18 17   0.0
854 450 18 17   0.0
925 308 18 17 D 0.0
616 200 18 17   0.0
313 129 18 17 C 0.0
497 431 18 17 G 0.0
536 411 18 17 D 0.0
504 122 18 17 C 0.0
606 201 18 17   0.0
576 330 18 17 G 0.0
712 379 18 17 C 0.0
586 204 18 17 B 0.0
579 177 18 17 A 0.0
178 451 18 17   0.0
963 276 18 17 B 0.0
628 142 18 17 B 0.0
522 147 18 17 G 0.0
789 379 18 17 C 0.0
946 297 18 17 D 0.0
164 453 18 17   0.0
391 200 18 17   0.0
425 330 18 17 G 0.0
400 198 18 17   0.0
1093 213 18 17 B 0.0
353 446 18 17   0.0
1007 195 18 17   0.0
881 379 18 17 C 0.0
523 452 18 17   0.0
492 124 18 17 C 0.0
423 127 18 17 C 0.0
515 121 18 17 C 0.0
496 320 18 17 A 0.0
862 449 18 17   0.0
1102 211 18 17 B 0.0
190 380 18 17 C 0.0
516 28 18 17 B 0.0
471 58 18 17 B 0.0
334 448 18 17   0.0
383 201 18 17   0.0
217 127 18 17 C 0.0
209 331 18 17 G 0.0
951 374 18 17 C 0.0
536 396 18 17 B 0.0
510 453 18 17   0.0
924 100 18 17 B 0.0
810 201 18 17   0.0
959 373 18 17 C 0.0
1064 392 18 17 B 0.0
903 308 18 17 D 0.0
629 128 18 17 C 0.0
1015 194 18 17   0.0
193 200 18 17   0.0
1131 121 18 17 C 0.0
206 199 18 17   0.0
925 201 18 17   0.0
448 58 18 17 B 0.0
879 279 18 17 B 0.0
182 201 18 17   0.0
1035 154 18 17 G 0.0
752 278 18 17 B 0.0
784 206 18 17 B 0.0
345 447 18 17   0.0
882 411 18 17 D 0.0
48 152 18 17 G 0.0
263 30 18 17 B 0.0
258 357 18 17 C 0.0
691 100 18 17 B 0.0
784 337 18 17 G 0.0
292 18 18 17 B 0.0
844 452 18 17   0.0
1131 98 18 17 B 0.0
1135 352 18 17 B 0.0
266 220 18 17 B 0.0
671 454 18 17   0.0
419 353 18 17 B 0.0
313 87 18 17 G 0.0
286 87 18 17 G 0.0
714 261 18 17 B 0.0
778 267 18 17 B 0.0
712 100 18 17 B 0.0
375 17 18 17 B 0.0
326 449 18 17   0.0
832 126 18 17 C 0.0
1100 99 18 17 B 0.0
1118 352 18 17 B 0.0
880 204 18 17 B 0.0
609 358 18 17 C 0.0
770 336 18 17 G 0.0
1142 378 18 17 C 0.0
366 383 18 17 C 0.0
444 383 18 17 C 0.0
159 113 18 17 C 0.0
723 100 18 17 B 0.0
1116 98 18 17 B 0.0
790 410 18 17 D 0.0
1132 152 18 17 G 0.0
420 29 18 17 B 0.0
1064 379 18 17 C 0.0
47 95 18 17 B 0.0
910 101 18 17 B 0.0
917 202 18 17   0.0
987 66 22 14 Blue 0.0
323 324 22 14 Blue 0.0
171 71 22 14 Blue 0.0
